"id","date","lon","lat","x","y","x.se","y.se","logit_g","logit_g.se","g"
"226070",2022-03-14 15:00:00,-32.4324233608087,-3.87543482992469,-3610.3608537171,-428.854903420792,0.146150318077421,0.176845697392175,0.244450997127878,2.30946730793326,0.560810234273531
"226070",2022-03-14 21:00:00,-32.4317621876175,-3.87348797755688,-3610.28725225412,-428.639131903488,0.496766272667782,0.619633569059417,0.401860342549407,2.23577142459347,0.59913454522691
"226070",2022-03-15 03:00:00,-32.4326756552971,-3.87224754769532,-3610.38893901108,-428.501654133235,0.240330120684455,0.297153882964442,0.697979455197271,1.97326279109925,0.667739639237368
"226070",2022-03-15 09:00:00,-32.4248557654195,-3.87926711606869,-3609.51843285184,-429.279640844576,0.757096249806087,0.914146135268559,1.09727709534843,1.21782709186692,0.749749567695879
"226070",2022-03-15 15:00:00,-32.4466245982526,-3.87519683724449,-3611.94172823799,-428.828526436527,0.145075454170432,0.173833074303785,0.97724464038825,0.889515434181754,0.726561150779049
"226070",2022-03-15 21:00:00,-32.427715545327,-3.87494107124265,-3609.83678209492,-428.800179624327,0.582399088020865,0.705515020430274,0.793528002294572,1.20810511897219,0.688588358643346
"226070",2022-03-16 03:00:00,-32.4246739237657,-3.87572455865947,-3609.49819033154,-428.887014377684,0.940760631671121,1.16341097584645,2.21503368056896,1.82912456969391,0.901591440378453
"226070",2022-03-16 09:00:00,-32.438563036728,-3.87317850963271,-3611.04431931407,-428.604833322641,0.0976138516595043,0.10029169018849,4.03336939247236,1.55831904767408,0.982593800806247
"226070",2022-03-16 15:00:00,-32.5139582518999,-3.91935851197512,-3619.43727627525,-433.723141532951,0.10342743225694,0.113190406793488,4.70178969970662,1.19964618106438,0.991002673011839
"226070",2022-03-16 21:00:00,-32.7289464249259,-4.02083695739392,-3643.36965022308,-444.971400964896,0.447207762731752,0.267483734785013,4.56523288108514,1.4493097180795,0.989699744225723
"226070",2022-03-17 03:00:00,-32.902481359797,-4.09176489958505,-3662.68747080777,-452.834166078915,0.120872898296173,0.139258164822662,4.71222393017088,1.33075538508627,0.991095233475698
"226070",2022-03-17 09:00:00,-33.0837844810375,-4.17636203264242,-3682.8700419435,-462.213162338067,0.148020569570649,0.0994116923090434,4.7728973681536,1.23309879996868,0.991615056841659
"226070",2022-03-17 15:00:00,-33.2892802568133,-4.23250736893107,-3705.74572706304,-468.438369135548,0.350648561845389,0.451393676806521,4.60281384038405,1.43115727123994,0.990075884042095
"226070",2022-03-17 21:00:00,-33.4767483817032,-4.2843446490961,-3726.61458326575,-474.186319135881,0.0909709160449929,0.0966829043727753,4.16530486140536,1.53955601599697,0.984712359126332
"226070",2022-03-18 03:00:00,-33.6699857021165,-4.28842680225385,-3748.12566337642,-474.638983283355,0.117816829031162,0.132413915166617,3.94102444469895,1.96418377021199,0.980941963940534
"226070",2022-03-18 09:00:00,-33.8564480088365,-4.34164051411354,-3768.88255241262,-480.540001026348,0.133119809887455,0.137613251691839,4.36597057872185,1.45179490008357,0.987457004560912
"226070",2022-03-18 15:00:00,-34.0723225281674,-4.34231335767643,-3792.91359397978,-480.6146172244,0.111060941798264,0.128702726685815,4.70048787379404,1.25085923517226,0.990991058021032
"226070",2022-03-18 21:00:00,-34.3128570922483,-4.36126851474431,-3819.68977917145,-482.716711230872,0.0993959504194426,0.104396653906511,4.78912702356324,1.32919934019566,0.991748929443366
